Change Component Footprint: Designator=R25 Old Footprint=0402 New Footprint=R-0402
Change Component Comment : Designator=R501 Old Comment=0 New Comment=(DNP)
Change Component Comment : Designator=R511 Old Comment=0 New Comment=(DNP)
Change Component Comment : Designator=D201 Old Comment=1651159 New Comment=#NAME?
Change Component Comment : Designator=D202 Old Comment=1651159 New Comment=#NAME?
Change Component Comment : Designator=D203 Old Comment=1651159 New Comment=#NAME?
Change Component Comment : Designator=D204 Old Comment=1651159 New Comment=#NAME?
Change Component Comment : Designator=D102 Old Comment=2290341 New Comment=#NAME?
Change Component Comment : Designator=L201 Old Comment=744232090 New Comment=#NAME?
Change Component Comment : Designator=Y201 Old Comment=CSTCE8M00G55-R0 New Comment=#NAME?
Change Component Comment : Designator=Y101 Old Comment=CSTCR4M00G15L99-R0 New Comment=#NAME?
Change Component Comment : Designator=D101 Old Comment=KPHHS-1005QBC-D-V New Comment=#NAME?
Change Component Comment : Designator=U504 Old Comment=LP3878MRX-ADJ/NOPB New Comment=#NAME?
Change Component Comment : Designator=U101 Old Comment=MSP430F5528IRGCR New Comment=#NAME?
Change Component Comment : Designator=U502 Old Comment=TPS7A4901DGNT New Comment=#NAME?
Change Component Comment : Designator=U503 Old Comment=TPS7A4901DGNT New Comment=#NAME?
Change Component Designator: OldDesignator=R41 NewDesignator=R30
Added Pin To Net: NetName=DVCC_MSP430 Pin=C22-1
Added Pin To Net: NetName=V_IN Pin=C23-1
Added Pin To Net: NetName=VCC Pin=C24-1
Added Pin To Net: NetName=3.3V Pin=C25-1
Added Pin To Net: NetName=ADJ Pin=C25-2
Added Pin To Net: NetName=3.3V Pin=C27-1
Added Pin To Net: NetName=BYP Pin=C28-1
Added Pin To Net: NetName=VREG Pin=C29-1
Added Pin To Net: NetName=AGND_MSP Pin=C101-2
Added Pin To Net: NetName=V18 Pin=C102-1
Added Pin To Net: NetName=GND Pin=C102-2
Added Pin To Net: NetName=3V3 Pin=C103-1
Added Pin To Net: NetName=GND Pin=C103-2
Added Pin To Net: NetName=3V3 Pin=C104-1
Added Pin To Net: NetName=GND Pin=C104-2
Added Pin To Net: NetName=R\S\T\/SBWTDIO_MSP430 Pin=C105-1
Added Pin To Net: NetName=GND Pin=C105-2
Added Pin To Net: NetName=NetC106_1 Pin=C106-1
Added Pin To Net: NetName=GND Pin=C106-2
Added Pin To Net: NetName=AGND_MSP Pin=C107-2
Added Pin To Net: NetName=VCM_SHIELD Pin=C201-1
Added Pin To Net: NetName=AGND Pin=C201-2
Added Pin To Net: NetName=NetC202_1 Pin=C202-1
Added Pin To Net: NetName=AGND Pin=C202-2
Added Pin To Net: NetName=NetC203_1 Pin=C203-1
Added Pin To Net: NetName=AGND Pin=C203-2
Added Pin To Net: NetName=TX_CTRL_SUP Pin=C204-1
Added Pin To Net: NetName=AGND Pin=C204-2
Added Pin To Net: NetName=RX_DIG_SUP Pin=C205-1
Added Pin To Net: NetName=AGND Pin=C205-2
Added Pin To Net: NetName=TX_CTRL_SUP Pin=C206-1
Added Pin To Net: NetName=AGND Pin=C206-2
Added Pin To Net: NetName=LED_DRV_SUP Pin=C207-1
Added Pin To Net: NetName=AGND Pin=C207-2
Added Pin To Net: NetName=BATERIA Pin=C501-1
Added Pin To Net: NetName=VIN Pin=D20-1
Added Pin To Net: NetName=VREG Pin=D20-2
Added Pin To Net: NetName=NetD27_1 Pin=D27-1
Added Pin To Net: NetName=STAT Pin=D27-2
Added Pin To Net: NetName=LED2 Pin=D101-A
Added Pin To Net: NetName=NetD101_K Pin=D101-K
Added Pin To Net: NetName=LED1 Pin=D102-A
Added Pin To Net: NetName=NetD102_K Pin=D102-K
Added Pin To Net: NetName=AGND Pin=D201-1
Added Pin To Net: NetName=RX_SUP Pin=D201-2
Added Pin To Net: NetName=DET_M Pin=D201-3
Added Pin To Net: NetName=AGND Pin=D202-1
Added Pin To Net: NetName=RX_SUP Pin=D202-2
Added Pin To Net: NetName=DET_P Pin=D202-3
Added Pin To Net: NetName=AGND Pin=D203-1
Added Pin To Net: NetName=LED_DRV_SUP Pin=D203-2
Added Pin To Net: NetName=TXM Pin=D203-3
Added Pin To Net: NetName=AGND Pin=D204-1
Added Pin To Net: NetName=LED_DRV_SUP Pin=D204-2
Added Pin To Net: NetName=TXP Pin=D204-3
Added Pin To Net: NetName=TDO_MSP430 Pin=J101-1
Added Pin To Net: NetName=DVCC_JTAG Pin=J101-2
Added Pin To Net: NetName=TDI_MSP430 Pin=J101-3
Added Pin To Net: NetName=3V3 Pin=J101-4
Added Pin To Net: NetName=TMS_MSP430 Pin=J101-5
Added Pin To Net: NetName=TCK_MSP430 Pin=J101-7
Added Pin To Net: NetName=TEST/SBWTCK_MSP430 Pin=J101-8
Added Pin To Net: NetName=GND Pin=J101-9
Added Pin To Net: NetName=R\S\T\/SBWTDIO_MSP430 Pin=J101-10
Added Pin To Net: NetName=GND Pin=L102-1
Added Pin To Net: NetName=AGND_MSP Pin=L102-2
Added Pin To Net: NetName=DET_M Pin=L201-1
Added Pin To Net: NetName=NetL201_2 Pin=L201-2
Added Pin To Net: NetName=NetL201_3 Pin=L201-3
Added Pin To Net: NetName=DET_P Pin=L201-4
Added Pin To Net: NetName=BATERIA Pin=L501-1
Added Pin To Net: NetName=AVCC Pin=L502-2
Added Pin To Net: NetName=NetLED100_1 Pin=LED100-1
Added Pin To Net: NetName=NetLED100_2 Pin=LED100-2
Added Pin To Net: NetName=NetLED100_3 Pin=LED100-3
Added Pin To Net: NetName=3V3 Pin=LED100-4
Added Pin To Net: NetName=DVCC_MSP430 Pin=P5-5
Added Pin To Net: NetName=RX_CC Pin=P5-6
Added Pin To Net: NetName=TX_CC Pin=P5-7
Added Pin To Net: NetName=RESET Pin=P5-8
Added Pin To Net: NetName=SDA_FG Pin=P5-10
Added Pin To Net: NetName=ALCC_FG Pin=P5-11
Added Pin To Net: NetName=SCL_FG Pin=P5-12
Added Pin To Net: NetName=VIN Pin=P5-13
Added Pin To Net: NetName=VIN Pin=P101-2
Added Pin To Net: NetName=BATERIA Pin=P101-13
Added Pin To Net: NetName=BATERIA Pin=P101-14
Added Pin To Net: NetName=ALCC_FG Pin=R20-1
Added Pin To Net: NetName=DVCC_MSP430 Pin=R20-2
Added Pin To Net: NetName=VCC Pin=R21-1
Added Pin To Net: NetName=DVCC_MSP430 Pin=R21-2
Added Pin To Net: NetName=V_IN Pin=R23-1
Added Pin To Net: NetName=CG Pin=R25-2
Added Pin To Net: NetName=ADJ Pin=R26-1
Added Pin To Net: NetName=3.3V Pin=R26-2
Added Pin To Net: NetName=ADJ Pin=R28-2
Added Pin To Net: NetName=PROG Pin=R29-2
Added Pin To Net: NetName=VREG Pin=R30-1
Added Pin To Net: NetName=NetD27_1 Pin=R30-2
Added Pin To Net: NetName=GND Pin=R101-1
Added Pin To Net: NetName=NetD101_K Pin=R101-2
Added Pin To Net: NetName=XT2IN Pin=R102-2
